Composer;Range;Prevalence of Most Common Pitch Class;Relative Prevalence of Top Pitches;Pitch Class Variability After Folding;Most Common Melodic Interval;Number of Common Melodic Intervals;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
1;63.0000;0.6800;7.0000;3.4500;2.0000;0.0800;0.2300;0.1900;0.0600;2.7500
1;65.0000;0.7800;7.0000;3.4100;5.0000;0.1000;0.2000;0.2100;0.0200;2.0800
1;67.0000;0.7500;5.0000;3.5600;1.0000;0.1300;0.2400;0.2200;0.0700;3.0800
1;61.0000;0.5600;7.0000;3.3800;1.0000;0.1800;0.2900;0.1700;0.0400;2.1200
1;72.0000;0.7500;5.0000;3.7000;12.0000;0.0300;0.1100;0.0900;0.0600;3.9200
1;72.0000;0.9500;5.0000;3.4700;12.0000;0.1000;0.2200;0.1600;0.0400;2.4800
1;68.0000;0.7400;7.0000;3.4000;3.0000;0.1000;0.2500;0.1300;0.0500;2.6100
1;68.0000;0.9300;5.0000;3.4600;2.0000;0.1000;0.2800;0.1800;0.0300;3.1700
1;72.0000;0.8300;5.0000;3.4700;2.0000;0.1400;0.3000;0.2200;0.0900;4.0000
1;75.0000;0.9800;7.0000;3.3900;2.0000;0.2500;0.5000;0.2100;0.0200;4.0500
1;41.0000;0.8300;5.0000;3.1400;2.0000;0.1700;0.5400;0.0000;0.0000;0.8100
1;33.0000;0.9700;5.0000;3.5100;2.0000;0.2300;0.5300;0.2900;0.0000;1.2100
1;66.0000;0.7900;7.0000;3.3900;12.0000;0.0500;0.1200;0.1500;0.0500;6.3400
1;36.0000;0.7200;7.0000;3.5000;2.0000;0.1200;0.3100;0.1800;0.0200;0.7400
1;36.0000;0.6200;3.0000;3.1900;3.0000;0.0700;0.2000;0.1300;0.0000;1.0000
1;37.0000;0.5500;7.0000;3.2100;0.0000;0.0800;0.2900;0.1000;0.0000;4.2400
1;36.0000;0.6700;4.0000;3.7100;0.0000;0.0600;0.0800;0.0300;0.0200;1.5800
1;33.0000;0.7500;5.0000;3.4400;1.0000;0.2000;0.3600;0.2500;0.1200;1.7400
2;48.0000;0.1800;0.8400;2.1200;0.0000;3.0000;0.4400;0.1400;0.0400;3.1200
2;48.0000;0.2500;0.7700;1.9900;0.0000;3.0000;0.4100;0.0900;0.0100;4.5800
2;52.0000;0.2200;0.7200;2.3300;2.0000;4.0000;0.4500;0.0700;0.0200;2.1200
2;48.0000;0.1800;0.8400;2.5200;2.0000;3.0000;0.4600;0.1200;0.0100;1.9900
2;52.0000;0.1900;0.7500;2.2300;0.0000;3.0000;0.3900;0.1300;0.0300;2.4700
2;50.0000;0.1800;0.9300;2.3000;2.0000;3.0000;0.5500;0.1700;0.0200;3.3400
2;44.0000;0.2200;0.8700;2.2700;2.0000;5.0000;0.5500;0.1200;0.0100;2.6300
2;48.0000;0.2100;0.8600;2.1200;2.0000;3.0000;0.4700;0.1400;0.0200;2.3800
2;48.0000;0.1700;0.9900;2.5800;1.0000;3.0000;0.5000;0.1800;0.0700;3.6600
2;50.0000;0.2200;0.9300;3.0200;2.0000;3.0000;0.4500;0.1300;0.0400;2.4000
2;49.0000;0.2000;0.9200;4.2100;3.0000;6.0000;0.2400;0.1100;0.0900;2.2200
2;44.0000;0.2300;0.6600;3.3800;2.0000;4.0000;0.5000;0.1100;0.0700;2.9800
2;51.0000;0.1800;0.8700;4.1500;2.0000;6.0000;0.3400;0.1200;0.0300;1.5000
2;50.0000;0.2100;0.6500;4.1800;1.0000;3.0000;0.5700;0.1100;0.0600;1.9200
2;50.0000;0.1700;0.9000;4.3000;2.0000;4.0000;0.5600;0.0900;0.0100;2.4100
2;49.0000;0.1800;0.8300;4.0000;1.0000;4.0000;0.4300;0.1600;0.0800;2.6100
2;48.0000;0.2000;0.8700;3.7700;2.0000;3.0000;0.4900;0.2000;0.0400;2.2000
2;47.0000;0.2000;0.7300;4.1800;2.0000;2.0000;0.5900;0.0800;0.0100;1.9500
