data_set_id;Range;Relative Prevalence of Top Pitch Classes;Interval Between Most Prevalent Pitch Classes;Pitch Class Variability;Most Common Melodic Interval;Chromatic Motion;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata31-3.mid;7.2e1;8.301e-1;5e0;3.468e0;2e0;1.359e-1;3.041e-1;2.154e-1;8.544e-2;4.001e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata32-1.mid;7.5e1;9.798e-1;7e0;3.387e0;2e0;2.484e-1;4.981e-1;2.129e-1;2.228e-2;4.053e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\swiss-0.mid;4.1e1;8.333e-1;5e0;3.142e0;2e0;1.695e-1;5.424e-1;0e0;0e0;8.098e-1
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\swiss-1.mid;3.3e1;9.677e-1;5e0;3.506e0;2e0;2.308e-1;5.315e-1;2.866e-1;0e0;1.211e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\symph5-1.mid;6.6e1;7.89e-1;7e0;3.386e0;1.2e1;4.817e-2;1.247e-1;1.483e-1;4.903e-2;6.337e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\tmte04-63b.mid;3.6e1;7.222e-1;7e0;3.499e0;2e0;1.176e-1;3.137e-1;1.758e-1;2.083e-2;7.411e-1
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\tmte04-63c.mid;3.6e1;6.207e-1;3e0;3.191e0;3e0;6.522e-2;1.957e-1;1.328e-1;0e0;9.976e-1
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\tmte04-63g.mid;3.7e1;5.5e-1;7e0;3.213e0;0e0;8.333e-2;2.917e-1;1.032e-1;0e0;4.238e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\tmte04-63i.mid;3.6e1;6.667e-1;4e0;3.709e0;0e0;5.556e-2;8.333e-2;2.652e-2;1.923e-2;1.579e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\tmte04-63o.mid;3.3e1;7.5e-1;5e0;3.442e0;1e0;2e-1;3.6e-1;2.538e-1;1.19e-1;1.742e0
